"series","episode","first_name","last_name","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical","result","viewers"
"4",2,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Giant Matchsticks","Sailor's Knot",2,"IN",6.65
"4",3,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes","Ginger, Mango and Passion Fruit Trifle","Rose and Pistachio MacaroonsChocolate and Raspberry Bites",11,"OUT",7.17
"4",3,"Howard","Middleton",51,"Council Worker","Sheffield","Caramel and Apple Trifle*","Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits",7,"IN",7.17
"4",3,"Deborah","Manger",51,"Dentist","Peterborough","Tropical Trifle*","Canelé Cherry and Chocolate CakesRose Cookies",9,"OUT",7.17
"4",3,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread",10,"IN",7.17
"4",3,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon","Raspberry and Almond Trifle","Billionaire BouchéesOrange Financiers",1,"IN",7.17
"4",3,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire","Caribbean Pina Colada Trifle","Ninety-NinersSachertorte Parcels",4,"STAR BAKER",7.17
"4",3,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Apple and Blackberry Crumble Trifle","'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes",8,"IN",7.17
"4",3,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",5,"IN",7.17
"4",3,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire","Rhubarb and Orange Trifle","Almond FriandsTurǫn Macaroons",2,"IN",7.17
"4",3,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","Desert Island Trifle","Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes",3,"IN",7.17
"4",3,"Kimberley","Wilson",30,"Psychologist","London","Peach, Almond and Ginger Trifle","Chocolate Pistachio FinanciersLemon Bergamot Biscuits",6,"IN",7.17
"4",4,"Howard","Middleton",51,"Council Worker","Sheffield","Apple Pie with Sage Pastry","Fresh Fig and Feta Filo Flan",5,"IN",6.82
"4",4,"Kimberley","Wilson",30,"Psychologist","London","Pecan and Rosemary Caramel Apple Pie","Chicken, Bacon and Butternut Squash Pie",4,"STAR BAKER",6.82
"4",4,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon","Apple & Maple Syrup Pie","Spanakopita (Walnut and Feta Cheese)",9,"IN",6.82
"4",4,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire","Granny Rogers' Apple, Plum & Cinnamon Country Pie","Roasted Vegetable Filo Pie with Feta Cheese",7,"IN",6.82
